Week,Ad name,Campaign name,Creative Type,Campaign,Amount spent (INR),"CPM (cost per 1,000 impressions) (INR)",QPs,CPQ,Cost per results,Purchases,Purchase ROAS (return on ad spend),RPL,Hook Rate,Hold Rate,Impressions,Frequency,Link clicks,CPC (cost per link click) (INR),CTR (link click-through rate),App Installs
3/9/2026,Jyoti 20s_Free Chat_20s,Test-Female Open Multi CTP Oct 2025,Video,Female,175676.5,65.49409,157,1118.959,10333.91,7,0.016195,18.12102,0.089355,0.267244,2682326,2.367206,10376,16.93104,0.386828,358
3/9/2026,"Prachee 20s_Checklist, Choosy+ Free Chat Compatibility",Multi CTP Parents Aug 2025,Video,Parent,173842,79.22852,35,4966.915,86921.01,4,0.028969,143.8857,0.218974,0.209882,2194185,2.24832,21482,8.09245,0.979042,226
10/27/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,169863.8,48.63182,175,970.6503,3466.608,44,0.202056,196.1257,0.192838,0.266265,3492853,2.085995,24840,6.838317,0.711166,1090
2/9/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,169511.4,173.0538,767,221.0057,1389.438,122,0.233843,51.68057,0.307929,0.468405,979530,1.834614,17058,9.937355,1.741447,1850
2/23/2026,Smita,Multi CTP Parents Aug 2025,Video,Parent,166631.2,87.30686,141,1181.781,3967.409,42,0.305051,360.5035,0.160347,0.208389,1908569,1.868922,10098,16.5014,0.529088,685
2/16/2026,Smita,Multi CTP Parents Aug 2025,Video,Parent,162574.5,80.61218,181,898.2014,2852.183,66,0.374376,336.2652,0.176851,0.228919,2016748,1.838904,11304,14.38203,0.560506,898
12/1/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,162554.7,84.30835,1228,132.3735,1144.751,142,0.255668,33.84365,0.071951,0.20912,1928097,1.853644,6382,25.4708,0.331,3318
3/2/2026,Smita,Multi CTP Parents Aug 2025,Video,Parent,161802.9,59.1752,146,1108.239,2996.35,58,0.450583,499.3534,0.170839,0.184366,2734302,1.639509,15115,10.70479,0.552792,781
12/1/2025,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,161241.8,89.45526,1095,147.2528,995.3196,162,0.463881,68.30776,0.209959,0.309628,1802485,1.743848,14420,11.18182,0.800007,2308
3/2/2026,Jyoti 20s_Free Chat_20s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,161185.7,98.24545,738,218.4088,1811.075,89,0.182342,39.8252,0.200764,0.514685,1640643,1.978977,8494,18.97642,0.517724,1981
10/13/2025,Video Ad Nov 23 - Parents - Nishi - 15 Sec (A) â€“ Copy,Multi CTP Parents Aug 2025,Video,Parent,160847.4,82.01533,171,940.628,4874.163,28,0.190264,178.9673,0.253471,0.417908,1961187,2.248194,23709,6.784233,1.208911,744
12/22/2025,Mani_Free Chat_24s,Test-Female Open Multi CTP Oct 2025,Video,Female,160416.2,84.57585,253,634.0561,6974.617,11,0.015996,10.14229,0.298082,0.484299,1896714,2.36866,56693,2.829559,2.989012,813
1/26/2026,Juhi 12s_FreeChat,Test-Female Open Multi CTP Oct 2025,Video,Female,159424.7,39.19791,425,375.1169,6642.696,30,0.071137,26.68471,0.082019,0.215836,4067174,1.812951,12559,12.69406,0.308789,1356
1/5/2026,Sugandha'sMom_FiltersQuality_22s,Multi CTP Parents Aug 2025,Video,Parent,158110.4,37.34166,168,941.1335,3856.352,43,0.210353,197.9702,0.399735,0.151423,4234156,1.655734,39751,3.977521,0.938818,1599
12/29/2025,Mani_Free Chat_24s,Test-Female Open Multi CTP Oct 2025,Video,Female,157522,82.20547,245,642.9471,9845.128,17,0.047511,30.54694,0.33422,0.513366,1916199,2.58936,77324,2.037169,4.03528,738
11/10/2025,Prachi Free Chat,Multi CTP Parents Aug 2025,Video,Parent,157315.3,109.8757,125,1258.522,7150.694,39,0.688636,866.664,0.269185,0.298575,1431757,2.388128,18950,8.301597,1.323549,551
12/15/2025,Mani_Free Chat_24s,Test-Female Open Multi CTP Oct 2025,Video,Female,155317.2,84.43415,292,531.9082,6752.922,28,0.145605,77.44863,0.29442,0.455456,1839507,2.277381,44686,3.475746,2.429238,773
1/5/2026,Mani_Free Chat_24s,Test-Female Open Multi CTP Oct 2025,Video,Female,155041.9,85.18447,256,605.6323,11074.42,9,0.019395,11.74609,0.315619,0.514194,1820072,2.411931,65243,2.376375,3.584638,771
1/19/2026,Juhi 12s_FreeChat,Multi CTP Parents Aug 2025,Video,Parent,153122.4,68.49552,186,823.2388,3560.987,50,0.343849,283.0699,0.136584,0.23564,2235510,2.040436,8744,17.51171,0.391141,888
2/2/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,152311.1,116.7259,759,200.6734,1857.453,82,0.732139,146.9209,0.083574,0.223258,1304862,1.779681,5352,28.45873,0.410158,2320
2/16/2026,Jyoti 20s_Free Chat_20s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,149025.2,106.7347,820,181.7381,1146.348,130,0.304275,55.29829,0.192237,0.501241,1396221,1.800918,7650,19.48042,0.547908,2145
11/24/2025,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,148743.6,101.8602,1152,129.1177,923.8735,161,0.292624,37.78299,0.077274,0.23464,1460272,1.841276,5277,28.18716,0.361371,2846
1/12/2026,Juhi 12s_FreeChat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,146923.3,53.96412,720,204.0601,1454.686,101,0.227227,46.36806,0.092466,0.26435,2722611,1.991307,8373,17.54727,0.307536,2553
2/9/2026,Jyoti 20s_Free Chat_20s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,146476,98.5727,782,187.3094,1381.849,106,0.27272,51.08312,0.177859,0.477118,1485969,1.979574,8211,17.83899,0.552569,2160
2/23/2026,Jyoti 20s_Free Chat_20s,Multi CTP Parents Aug 2025,Video,Parent,144510.5,161.5953,137,1054.821,3524.645,28,0.14911,157.2847,0.209595,0.365668,894274,1.896428,7952,18.17285,0.889213,401
1/19/2026,Jyoti 20s_Free Chat_20s,Multi CTP Parents Aug 2025,Video,Parent,143295.3,89.39571,154,930.4892,3332.45,44,0.909485,846.2662,0.196258,0.297398,1602933,2.026661,19810,7.233485,1.23586,514
10/27/2025,Neena 20s Living Room,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,143145.5,64.87879,811,176.5049,1015.216,141,0.280617,49.53021,0.125064,0.281613,2206352,2.073191,5656,25.3086,0.256351,1782
2/2/2026,Jyoti 20s_Free Chat_20s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,143089.1,77.02397,728,196.5509,1445.344,99,0.19636,38.59478,0.154292,0.452781,1857721,1.954562,10439,13.70716,0.561925,1891
12/29/2025,Sugandha'sMom_FiltersQuality_22s,Multi CTP Parents Aug 2025,Video,Parent,141707.7,35.73799,164,864.0711,3633.53,43,0.590857,510.5427,0.387165,0.147182,3965183,1.775975,43505,3.257273,1.097175,1680
1/26/2026,Anupriya,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,140586.6,111.0125,835,168.3672,2067.45,68,0.132804,22.35988,0.083521,0.197427,1266403,1.89043,5326,26.39628,0.420561,2448
2/9/2026,Jyoti 20s_Free Chat_20s,Multi CTP Parents Aug 2025,Video,Parent,140406.6,145.6728,147,955.1467,3191.058,39,0.206942,197.6599,0.231192,0.37313,963849,2.01306,11222,12.51172,1.16429,471
1/5/2026,Shubham's_Mom_FreeBioData,Multi CTP Parents Aug 2025,Video,Parent,140109.2,64.17918,161,870.2434,3045.852,21,0.112084,97.54037,0.398808,0.219158,2183094,1.918659,33375,4.198028,1.528794,849
10/20/2025,Shalini_FreeChat_ShaadiReady_27s,Multi CTP Parents Aug 2025,Video,Parent,138853.9,60.31179,151,919.5619,4628.462,30,0.14382,132.2517,0.439687,0.188895,2302267,2.104403,21060,6.59325,0.914751,1098
2/23/2026,Jyoti 20s_Free Chat_20s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,137650.4,106.0132,640,215.0787,1885.622,73,0.253781,54.58281,0.196008,0.480409,1298427,1.992849,7198,19.12342,0.554363,1818
3/9/2026,Jyoti 20s_Free Chat_20s,Multi CTP Parents Aug 2025,Video,Parent,136766.6,92.31174,120,1139.722,3419.165,37,0.15094,172.03,0.158277,0.290927,1481573,2.060324,9625,14.20952,0.649647,363
2/9/2026,Juhi 12s_FreeChat,Test-Female Open Multi CTP Oct 2025,Video,Female,136161.5,63.48237,281,484.5605,9077.433,12,0.021864,10.59431,0.072345,0.211839,2144871,1.899885,8440,16.13288,0.393497,801
2/9/2026,Smita,Multi CTP Parents Aug 2025,Video,Parent,135449.6,79.77232,135,1003.33,5417.983,32,0.333194,334.3037,0.177726,0.17722,1697952,1.746808,9488,14.27588,0.558791,759
12/15/2025,Shubham's_Mom_FreeChat,Multi CTP Parents Aug 2025,Video,Parent,135431.9,78.85778,314,431.3118,5642.997,39,0.158087,68.18471,0.18372,0.170104,1717420,2.114825,8540,15.85854,0.497258,1551
2/2/2026,Juhi 12s_FreeChat,Test-Female Open Multi CTP Oct 2025,Video,Female,134273.5,33.91718,384,349.6706,6713.676,19,0.070893,24.78906,0.078858,0.210772,3958864,1.722728,14616,9.186748,0.369197,1382
12/22/2025,Sugandha'sMom_FiltersQuality_22s,Multi CTP Parents Aug 2025,Video,Parent,134005.1,37.99698,215,623.2793,2000.076,51,0.338424,210.9326,0.394259,0.123389,3526729,1.833937,28235,4.746062,0.8006,1581
2/9/2026,Success_Story_Ayushee_Saurabh,Test-Female Open Multi CTP Oct 2025,Carousel,Female,131438,76.55724,168,782.3689,6571.899,23,0.087821,68.70833,0.245806,0.269238,1716859,2.494927,28020,4.690863,1.63205,293
10/6/2025,Seema Manoj P2C Script 3 Dec 2024,Multi CTP Parents Aug 2025,Video,Parent,130858,57.02044,153,855.2808,3271.449,38,0.636729,544.5817,0.110195,0.244506,2294931,2.118052,18923,6.915287,0.824556,616
11/24/2025,Mani_Free Chat_24s,Test-Female Open Multi CTP Oct 2025,Video,Female,130415.7,73.78679,262,497.7697,5015.987,40,0.131437,65.42557,0.216289,0.280477,1767466,1.953327,16279,8.011281,0.921036,555
1/26/2026,Jyoti 20s_Free Chat_20s,Test-Female Open Multi CTP Oct 2025,Video,Female,130127.9,55.97927,293,444.1225,7654.582,20,0.068225,30.30034,0.142098,0.372611,2324573,1.793143,25028,5.199293,1.076671,679
11/24/2025,Handshake Static,Test-Female Open Multi CTP Oct 2025,Static,Female,130084.4,36.88527,231,563.136,6504.221,21,0.128436,72.32684,5.10E-06,0.277778,3526731,2.440516,15657,8.308387,0.443952,507
3/2/2026,Jyoti 20s_Free Chat_20s,Multi CTP Parents Aug 2025,Video,Parent,129879.6,134.5108,120,1082.33,4329.32,20,0.147413,159.55,0.195493,0.341059,965570,1.892866,6152,21.11177,0.637137,365
10/27/2025,Neena 20s Living Room,Female Open QP Aug 2025,Video,Female,129726.8,34.0697,391,331.7821,331.7821,16,0.024929,8.2711,0.122809,0.265762,3807688,2.511184,7426,17.46927,0.195026,1028
2/16/2026,Jyoti 20s_Free Chat_20s,Multi CTP Parents Aug 2025,Video,Parent,129688,165.1311,184,704.8263,2881.956,42,0.571243,402.627,0.245969,0.444276,785364,2.014555,8238,15.74266,1.04894,485
11/3/2025,Prachi Free Chat,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,129633.3,140.0377,718,180.5478,1473.106,88,0.310167,56,0.228016,0.521203,925703,2.04094,8088,16.02786,0.873714,2000
2/16/2026,Success_Story_Ayushee_Saurabh,Test-Female Open Multi CTP Oct 2025,Carousel,Female,128840.5,67.32229,160,805.2533,6781.08,8,0.015368,12.375,0.177807,0.162946,1913787,2.38846,9819,13.12155,0.513067,270
1/12/2026,Smita,Multi CTP Parents Aug 2025,Video,Parent,127839.4,62.74042,141,906.6626,3652.555,39,0.266405,241.539,0.193024,0.261385,2037593,1.904634,16801,7.609037,0.824551,688
10/6/2025,Smita,Multi CTP Parents Aug 2025,Video,Parent,127754.9,44.3282,143,893.3908,4562.675,24,0.110109,98.37063,0.159668,0.304968,2882023,1.868072,30123,4.241108,1.045203,718
11/17/2025,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,127515.2,76.93488,803,158.7985,1992.425,64,0.176026,27.95268,0.152598,0.158444,1657443,1.935802,5462,23.34588,0.329544,1874
1/26/2026,Jyoti 20s_Free Chat_20s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,126306.1,64.50829,748,168.8585,1315.689,96,0.212666,35.91043,0.131153,0.402125,1957983,2.0254,8888,14.21086,0.453937,1835
1/5/2026,Smita,Multi CTP Parents Aug 2025,Video,Parent,126113.8,58.78892,119,1059.78,4203.794,33,0.296892,314.6403,0.203576,0.255434,2145197,1.827997,14610,8.63202,0.681056,811
2/2/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,125283,157.0023,627,199.8133,986.4801,127,0.667297,133.3349,0.342225,0.48029,797969,1.777693,18435,6.79593,2.31024,1328
1/26/2026,Sugandha'sMom_FiltersQuality_22s,Multi CTP Parents Aug 2025,Video,Parent,125144.2,31.80225,128,977.6893,3680.713,37,0.246348,240.8516,0.394399,0.129958,3935075,1.550447,39000,3.208826,0.991087,1460
1/12/2026,AnjuNanda_Listicle_34s,Multi CTP Parents Aug 2025,Video,Parent,123263.5,60.34494,121,1018.706,5869.689,41,0.281219,286.4793,0.399774,0.407196,2042648,2.417518,84910,1.451695,4.156859,558
1/12/2026,Sugandha'sMom_FiltersQuality_22s,Multi CTP Parents Aug 2025,Video,Parent,123160.9,43.68173,140,879.7204,3328.672,36,0.411689,362.1714,0.349615,0.146221,2819505,1.649282,27208,4.526641,0.964992,863
1/26/2026,Juhi 12s_FreeChat,Multi CTP Parents Aug 2025,Video,Parent,122897.5,65.68285,173,710.3903,3840.548,29,0.16478,117.0578,0.139447,0.232358,1871075,1.83795,8923,13.77312,0.476892,831
3/9/2026,Mani_Free Chat_24s,Test-Prospects F Bid Multiplier Sept 25,Video,Prosp,122819.5,121.1396,610,201.3435,1595.059,77,0.255585,51.46033,0.262056,0.408487,1013868,1.505783,16511,7.438648,1.628516,1349
12/8/2025,Mani_Free Chat_24s,Test-Female Open Multi CTP Oct 2025,Video,Female,122730.5,86.22216,231,531.301,4720.405,18,0.095567,50.77489,0.282464,0.439613,1423422,2.091819,26215,4.681691,1.841689,600
1/19/2026,Sugandha'sMom_FiltersQuality_22s,Multi CTP Parents Aug 2025,Video,Parent,121714.1,36.91176,146,833.6584,4507.931,27,0.403667,336.5205,0.357976,0.122018,3297435,1.720747,34810,3.496528,1.055669,977
11/17/2025,Handshake Static,Test-Female Open Multi CTP Oct 2025,Static,Female,121313.7,38.519,191,635.1501,6384.93,15,0.09459,60.07853,9.27E-05,0.304795,3149450,2.617348,15121,8.02286,0.480116,427
10/27/2025,Shalini_FreeChat_ShaadiReady_27s,Multi CTP Parents Aug 2025,Video,Parent,121286.3,56.22911,127,955.0098,2580.559,30,0.39462,376.8661,0.44304,0.214472,2157001,1.78809,26241,4.622013,1.21655,862
1/19/2026,Jyoti 20s_Free Chat_20s,Test-Female Open Multi CTP Oct 2025,Video,Female,121124.8,70.76946,219,553.0814,7570.302,23,0.119397,66.03653,0.157504,0.382563,1711541,2.062692,26768,4.524986,1.563971,455
